MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIONS,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z,scaled_fuel_consumption,scaled_engine_size,scaled_coemissions
VOLKSWAGEN,GTI,COMPACT,2.0,4,11.2,228,False,False,False,False,True,False,False,False,True,False,0.29439252336448596,0.14285714285714285,0.3171355498721228
DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,18.8,382,False,False,False,False,True,False,False,False,True,False,0.6495327102803738,0.5285714285714286,0.710997442455243
GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,18.9,373,False,False,False,False,True,False,False,False,True,False,0.6542056074766355,0.5428571428571428,0.6879795396419437
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,18.5,380,True,False,False,False,False,False,False,False,True,False,0.6355140186915889,0.5142857142857142,0.7058823529411765
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,17.3,359,True,False,False,False,False,False,False,False,True,False,0.5794392523364487,0.4571428571428572,0.6521739130434783
VOLKSWAGEN,JETTA,COMPACT,2.0,4,11.9,244,True,False,False,False,False,False,False,False,True,False,0.3271028037383178,0.14285714285714285,0.35805626598465473
TOYOTA,CELICA,SUBCOMPACT,1.8,4,11.6,237,False,False,True,False,False,False,False,False,False,True,0.3130841121495327,0.1142857142857143,0.340153452685422
JEEP,TJ 4X4,SUV,2.5,4,14.7,315,False,False,False,False,True,False,False,False,True,False,0.45794392523364486,0.21428571428571427,0.5396419437340153
VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4,8.1,192,True,False,False,False,False,False,False,False,False,False,0.14953271028037382,0.12857142857142856,0.22506393861892582
FORD,E150 CLUB WAGON,VAN - PASSENGER,4.6,8,18.8,382,True,False,False,False,False,False,False,False,True,False,0.6495327102803738,0.5142857142857142,0.710997442455243
ISUZU,HOMBRE,PICKUP TRUCK - SMALL,4.3,6,15.4,313,True,False,False,False,False,False,False,False,True,False,0.4906542056074767,0.4714285714285714,0.5345268542199488
CHEVROLET,IMPALA,FULL-SIZE,3.8,6,13.5,262,True,False,False,False,False,False,False,False,True,False,0.40186915887850466,0.39999999999999997,0.4040920716112532
CHEVROLET,METRO,SUBCOMPACT,1.0,3,7.1,147,False,False,False,False,True,False,False,False,True,False,0.10280373831775698,0.0,0.10997442455242967
FORD,EXPLORER OHV,SUV,4.0,6,17.1,357,False,True,False,False,False,False,False,False,True,False,0.5700934579439253,0.42857142857142855,0.6470588235294118
DODGE,RAM 2500 VAN NGV,VAN - CARGO,5.2,8,20.8,353,True,False,False,False,False,False,False,True,False,False,0.7429906542056075,0.6,0.6368286445012787
ACURA,NSX,SUBCOMPACT,3.0,6,15.2,306,False,False,True,False,False,False,False,False,False,True,0.48130841121495327,0.2857142857142857,0.5166240409207161
FORD,EXPEDITION,SUV,5.4,8,20.2,403,True,False,False,False,False,False,False,False,True,False,0.7149532710280374,0.6285714285714287,0.7647058823529411
OLDSMOBILE,ALERO,COMPACT,3.4,6,13.6,262,True,False,False,False,False,False,False,False,True,False,0.40654205607476634,0.34285714285714286,0.4040920716112532
HONDA,CR-V,SUV,2.0,4,12.5,267,True,False,False,False,False,False,False,False,True,False,0.35514018691588783,0.14285714285714285,0.41687979539641945
NISSAN,FRONTIER V6 4X4,PICKUP TRUCK - STANDARD,3.3,6,16.2,350,False,False,False,False,True,False,False,False,True,False,0.5280373831775701,0.32857142857142857,0.629156010230179
HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,11.8,237,True,False,False,False,False,False,False,False,True,False,0.3224299065420561,0.1857142857142857,0.340153452685422
GMC,SONOMA,PICKUP TRUCK - SMALL,2.2,4,12.2,246,False,False,False,False,True,False,False,False,True,False,0.3411214953271028,0.17142857142857146,0.3631713554987212
DAEWOO,LEGANZA,COMPACT,2.2,4,13.1,258,False,False,False,False,True,False,False,False,True,False,0.38317757009345793,0.17142857142857146,0.3938618925831202
CHRYSLER,INTREPID,FULL-SIZE,2.7,6,13.2,258,False,False,True,False,False,False,False,False,True,False,0.3878504672897196,0.24285714285714288,0.3938618925831202
DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.9,8,21.6,426,True,False,False,False,False,False,False,False,True,False,0.7803738317757011,0.7000000000000001,0.8235294117647058
VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2.0,4,11.2,228,False,False,False,False,True,False,False,False,True,False,0.29439252336448596,0.14285714285714285,0.3171355498721228
BMW,528i,COMPACT,2.8,6,13.0,258,False,False,False,False,True,False,False,False,False,True,0.37850467289719625,0.2571428571428571,0.3938618925831202
CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,16.2,336,True,False,False,False,False,False,False,False,True,False,0.5280373831775701,0.4714285714285714,0.5933503836317136
TOYOTA,CELICA,SUBCOMPACT,1.8,4,11.6,230,False,False,False,False,False,True,False,False,False,True,0.3130841121495327,0.1142857142857143,0.32225063938618925
CADILLAC,CATERA,MID-SIZE,3.0,6,14.7,294,True,False,False,False,False,False,False,False,False,True,0.45794392523364486,0.2857142857142857,0.4859335038363171
AUDI,A4,COMPACT,2.8,6,14.6,285,False,True,False,False,False,False,False,False,False,True,0.4532710280373832,0.2571428571428571,0.4629156010230179
FORD,TAURUS #,MID-SIZE,3.0,6,13.5,265,True,False,False,False,False,False,False,False,True,False,0.40186915887850466,0.2857142857142857,0.4117647058823529
GMC,K1500 YUKON 4X4,SUV,5.7,8,21.2,430,True,False,False,False,False,False,False,False,True,False,0.7616822429906541,0.6714285714285715,0.8337595907928389
TOYOTA,CAMRY,MID-SIZE,2.2,4,11.4,228,False,False,False,False,True,False,False,False,True,False,0.3037383177570094,0.17142857142857146,0.3171355498721228
SUBARU,FORESTER AWD,SUV,2.5,4,12.2,246,True,False,False,False,False,False,False,False,True,False,0.3411214953271028,0.21428571428571427,0.3631713554987212
JAGUAR,VANDEN PLAS,MID-SIZE,4.0,8,15.5,306,False,True,False,False,False,False,False,False,False,True,0.4953271028037383,0.42857142857142855,0.5166240409207161
VOLKSWAGEN,GOLF,COMPACT,1.8,4,11.1,225,False,False,False,False,True,False,False,False,False,True,0.2897196261682243,0.1142857142857143,0.309462915601023
KIA,SPORTAGE 4X4,SUV,2.0,4,13.4,294,True,False,False,False,False,False,False,False,True,False,0.39719626168224303,0.14285714285714285,0.4859335038363171
CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,16.7,343,True,False,False,False,False,False,False,False,True,False,0.5514018691588785,0.6142857142857142,0.6112531969309463
LEXUS,GS 400,MID-SIZE,4.0,8,15.0,299,False,True,False,False,False,False,False,False,False,True,0.4719626168224299,0.42857142857142855,0.49872122762148335
HONDA,ODYSSEY,MINIVAN,3.5,6,14.9,292,True,False,False,False,False,False,False,False,True,False,0.4672897196261683,0.35714285714285715,0.48081841432225064
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,3.4,6,16.0,336,False,False,False,False,True,False,False,False,True,False,0.5186915887850467,0.34285714285714286,0.5933503836317136
CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,17.7,368,True,False,False,False,False,False,False,False,True,False,0.5981308411214953,0.4714285714285714,0.6751918158567775
AUDI,A6 QUATTRO,MID-SIZE,4.2,8,15.5,308,False,True,False,False,False,False,False,False,False,True,0.4953271028037383,0.4571428571428572,0.5217391304347826
FERRARI,360 MODENA F1,TWO-SEATER,3.6,8,24.1,472,False,False,False,False,False,True,False,False,False,True,0.8971962616822432,0.37142857142857144,0.9411764705882353
HONDA,CR-V,SUV,2.0,4,12.5,267,False,False,False,False,True,False,False,False,True,False,0.35514018691588783,0.14285714285714285,0.41687979539641945
SATURN,SC #,SUBCOMPACT,1.9,4,10.6,207,True,False,False,False,False,False,False,False,True,False,0.26635514018691586,0.12857142857142856,0.26342710997442453
HONDA,CIVIC COUPE Si,SUBCOMPACT,1.6,4,10.5,216,True,False,False,False,False,False,False,False,True,False,0.2616822429906542,0.08571428571428573,0.2864450127877238
HYUNDAI,SONATA 2.5L,MID-SIZE,2.5,6,13.2,262,True,False,False,False,False,False,False,False,True,False,0.3878504672897196,0.21428571428571427,0.4040920716112532
MERCEDES-BENZ,E 320 4MATIC WAGON,STATION WAGON - MID-SIZE,3.2,6,13.5,274,False,True,False,False,False,False,False,False,False,True,0.40186915887850466,0.31428571428571433,0.43478260869565216
CHRYSLER,CONCORDE,FULL-SIZE,2.7,6,13.2,260,True,False,False,False,False,False,False,False,True,False,0.3878504672897196,0.24285714285714288,0.3989769820971867
FORD,RANGER,PICKUP TRUCK - STANDARD,4.0,6,14.9,306,False,False,False,False,True,False,False,False,True,False,0.4672897196261683,0.42857142857142855,0.5166240409207161
FORD,COUGAR,COMPACT,2.5,6,13.3,260,False,False,False,False,True,False,False,False,True,False,0.39252336448598135,0.21428571428571427,0.3989769820971867
TOYOTA,4RUNNER 4X4,SUV,3.4,6,15.7,331,False,False,False,False,True,False,False,False,True,False,0.5046728971962616,0.34285714285714286,0.5805626598465473
FORD,GRAND MARQUIS,FULL-SIZE,4.6,8,15.0,297,True,False,False,False,False,False,False,False,True,False,0.4719626168224299,0.5142857142857142,0.4936061381074169
AUDI,A4,COMPACT,1.8,4,12.9,251,False,True,False,False,False,False,False,False,False,True,0.3738317757009346,0.1142857142857143,0.37595907928388744
JEEP,CHEROKEE 4X4,SUV,4.0,6,16.6,338,True,False,False,False,False,False,False,False,True,False,0.5467289719626169,0.42857142857142855,0.59846547314578
MAZDA,626,MID-SIZE,2.5,6,13.7,278,True,False,False,False,False,False,False,False,False,True,0.411214953271028,0.21428571428571427,0.44501278772378516
INFINITI,QX4 4X4,SUV,3.3,6,17.7,366,True,False,False,False,False,False,False,False,True,False,0.5981308411214953,0.32857142857142857,0.670076726342711
VOLVO,S70,MID-SIZE,2.4,5,13.2,262,False,True,False,False,False,False,False,False,False,True,0.3878504672897196,0.19999999999999998,0.4040920716112532
GMC,C2500 SIERRA,PICKUP TRUCK - STANDARD,5.3,8,17.9,373,True,False,False,False,False,False,False,False,True,False,0.6074766355140186,0.6142857142857142,0.6879795396419437
CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,17.9,373,True,False,False,False,False,False,False,False,True,False,0.6074766355140186,0.6142857142857142,0.6879795396419437
PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,3.8,6,13.8,265,False,False,False,False,True,False,False,False,True,False,0.41588785046728977,0.39999999999999997,0.4117647058823529
MERCEDES-BENZ,CLK 430 CABRIOLET,MINICOMPACT,4.3,8,15.2,304,False,True,False,False,False,False,False,False,False,True,0.48130841121495327,0.4714285714285714,0.5115089514066496
TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,12.2,253,False,False,False,False,True,False,False,False,True,False,0.3411214953271028,0.19999999999999998,0.38107416879795397
MAZDA,626,MID-SIZE,2.0,4,10.6,219,False,False,False,False,True,False,False,False,True,False,0.26635514018691586,0.14285714285714285,0.29411764705882354
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,18.8,380,False,False,False,False,True,False,False,False,True,False,0.6495327102803738,0.5142857142857142,0.7058823529411765
SUBARU,LEGACY WAGON AWD,STATION WAGON - MID-SIZE,2.5,4,12.5,253,False,False,False,False,True,False,False,False,True,False,0.35514018691588783,0.21428571428571427,0.38107416879795397
AUDI,TT COUPE QUATTRO (SUPERCHARGED),MINICOMPACT,1.8,4,13.1,260,False,False,False,False,False,True,False,False,False,True,0.38317757009345793,0.1142857142857143,0.3989769820971867
DODGE,GRAND CARAVAN,MINIVAN,3.8,6,15.5,308,False,False,True,False,False,False,False,False,True,False,0.4953271028037383,0.39999999999999997,0.5217391304347826
SATURN,SW WAGON #,STATION WAGON - SMALL,1.9,4,10.3,202,False,False,False,False,True,False,False,False,True,False,0.25233644859813087,0.12857142857142856,0.2506393861892583
DODGE,DURANGO 4X4,SUV,4.7,8,19.3,389,True,False,False,False,False,False,False,False,True,False,0.6728971962616823,0.5285714285714286,0.7289002557544757
ISUZU,RODEO 4X4,SUV,3.2,6,16.8,347,False,False,False,False,True,False,False,False,True,False,0.5560747663551402,0.31428571428571433,0.6214833759590793
DAEWOO,LANOS,SUBCOMPACT,1.5,4,11.3,216,True,False,False,False,False,False,False,False,True,False,0.2990654205607477,0.07142857142857142,0.2864450127877238
CHEVROLET,BLAZER,SUV,4.3,6,16.2,336,True,False,False,False,False,False,False,False,True,False,0.5280373831775701,0.4714285714285714,0.5933503836317136
JAGUAR,XK8,SUBCOMPACT,4.0,8,15.4,304,False,True,False,False,False,False,False,False,False,True,0.4906542056074767,0.42857142857142855,0.5115089514066496
CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,12.5,248,True,False,False,False,False,False,False,False,True,False,0.35514018691588783,0.19999999999999998,0.36828644501278773
INFINITI,G20,COMPACT,2.0,4,11.4,230,False,False,False,False,True,False,False,False,True,False,0.3037383177570094,0.14285714285714285,0.32225063938618925
CADILLAC,ELDORADO,MID-SIZE,4.6,8,15.5,297,True,False,False,False,False,False,False,False,False,True,0.4953271028037383,0.5142857142857142,0.4936061381074169
SUBARU,IMPREZA AWD,SUBCOMPACT,2.5,4,12.8,258,False,False,False,False,True,False,False,False,True,False,0.36915887850467294,0.21428571428571427,0.3938618925831202
MERCEDES-BENZ,CLK 320,SUBCOMPACT,3.2,6,12.9,255,False,True,False,False,False,False,False,False,False,True,0.3738317757009346,0.31428571428571433,0.38618925831202044
DODGE,GRAND CARAVAN FFV,MINIVAN,3.3,6,20.6,283,True,False,False,False,False,False,True,False,False,False,0.7336448598130842,0.32857142857142857,0.4578005115089514
AUDI,A4 QUATTRO,COMPACT,2.8,6,14.9,292,False,True,False,False,False,False,False,False,False,True,0.4672897196261683,0.2571428571428571,0.48081841432225064
GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,17.3,366,True,False,False,False,False,False,False,False,True,False,0.5794392523364487,0.5428571428571428,0.670076726342711
SATURN,LS,MID-SIZE,3.0,6,13.3,269,True,False,False,False,False,False,False,False,True,False,0.39252336448598135,0.2857142857142857,0.4219948849104859
CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,15.4,306,True,False,False,False,False,False,False,False,False,True,0.4906542056074767,0.6714285714285715,0.5166240409207161
SUZUKI,VITARA 4X4,SUV,2.0,4,11.8,253,False,False,False,False,True,False,False,False,True,False,0.3224299065420561,0.14285714285714285,0.38107416879795397
CHEVROLET,NEW C1500 SUBURBAN,SUV,5.3,8,18.9,391,True,False,False,False,False,False,False,False,True,False,0.6542056074766355,0.6142857142857142,0.7340153452685422
SAAB,9-5 TURBO,FULL-SIZE,3.0,6,14.3,283,True,False,False,False,False,False,False,False,True,False,0.4392523364485982,0.2857142857142857,0.4578005115089514
PONTIAC,GRAND PRIX,MID-SIZE,3.1,6,13.1,255,True,False,False,False,False,False,False,False,True,False,0.38317757009345793,0.3,0.38618925831202044
BMW,323Ci,COMPACT,2.5,6,13.8,271,False,True,False,False,False,False,False,False,False,True,0.41588785046728977,0.21428571428571427,0.42710997442455245
ACURA,1.6EL,COMPACT,1.6,4,10.5,216,True,False,False,False,False,False,False,False,True,False,0.2616822429906542,0.08571428571428573,0.2864450127877238
VOLVO,S80 T-6,MID-SIZE,2.8,6,15.1,297,False,False,True,False,False,False,False,False,False,True,0.4766355140186916,0.2571428571428571,0.4936061381074169
PONTIAC,SUNFIRE,SUBCOMPACT,2.4,4,12.5,248,True,False,False,False,False,False,False,False,True,False,0.35514018691588783,0.19999999999999998,0.36828644501278773
TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,2.7,4,15.7,329,False,False,False,False,True,False,False,False,True,False,0.5046728971962616,0.24285714285714288,0.5754475703324808
PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,3.8,6,13.9,269,True,False,False,False,False,False,False,False,True,False,0.42056074766355145,0.39999999999999997,0.4219948849104859
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,15.7,311,False,False,False,False,False,True,False,False,False,True,0.5046728971962616,0.34285714285714286,0.5294117647058824
GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,5.0,8,18.3,377,True,False,False,False,False,False,False,False,True,False,0.6261682242990655,0.5714285714285714,0.6982097186700768
AUDI,A6 QUATTRO,MID-SIZE,2.8,6,14.6,297,False,False,False,False,True,False,False,False,False,True,0.4532710280373832,0.2571428571428571,0.4936061381074169
BUICK,LESABRE,FULL-SIZE,3.8,6,13.8,265,True,False,False,False,False,False,False,False,True,False,0.41588785046728977,0.39999999999999997,0.4117647058823529
CHEVROLET,METRO,SUBCOMPACT,1.3,4,7.6,156,False,False,False,False,True,False,False,False,True,False,0.1261682242990654,0.042857142857142864,0.1329923273657289
PONTIAC,FIREFLY,SUBCOMPACT,1.0,3,7.1,147,False,False,False,False,True,False,False,False,True,False,0.10280373831775698,0.0,0.10997442455242967
FORD,ESCORT ZX2,COMPACT,2.0,4,10.6,216,True,False,False,False,False,False,False,False,True,False,0.26635514018691586,0.14285714285714285,0.2864450127877238
CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,14.7,285,False,False,False,False,False,True,False,False,False,True,0.45794392523364486,0.6714285714285715,0.4629156010230179
DODGE,GRAND CARAVAN,MINIVAN,3.3,6,14.5,288,True,False,False,False,False,False,False,False,True,False,0.4485981308411215,0.32857142857142857,0.47058823529411764
MERCEDES-BENZ,SL 500,SUBCOMPACT,5.0,8,16.3,322,False,True,False,False,False,False,False,False,False,True,0.5327102803738318,0.5714285714285714,0.5575447570332481
FORD,WINDSTAR VAN,VAN - CARGO,3.8,6,14.9,304,True,False,False,False,False,False,False,False,True,False,0.4672897196261683,0.39999999999999997,0.5115089514066496
AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,2.8,6,15.4,306,False,True,False,False,False,False,False,False,False,True,0.4906542056074767,0.2571428571428571,0.5166240409207161
TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,12.6,267,True,False,False,False,False,False,False,False,True,False,0.3598130841121495,0.19999999999999998,0.41687979539641945
VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2.0,4,11.9,244,True,False,False,False,False,False,False,False,True,False,0.3271028037383178,0.14285714285714285,0.35805626598465473
CHRYSLER,NEON,COMPACT,2.0,4,10.9,223,False,False,False,False,False,False,False,False,True,False,0.28037383177570097,0.14285714285714285,0.30434782608695654
HONDA,INSIGHT,SUBCOMPACT,1.0,3,4.9,104,False,False,False,False,True,False,False,False,True,False,0.0,0.0,0.0
HONDA,ACCORD EX/LX,MID-SIZE,2.3,4,10.8,221,False,False,False,False,True,False,False,False,True,False,0.2757009345794393,0.1857142857142857,0.29923273657289
TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,3.4,6,15.7,331,False,False,False,False,True,False,False,False,True,False,0.5046728971962616,0.34285714285714286,0.5805626598465473
MERCEDES-BENZ,CLK 430,SUBCOMPACT,4.3,8,14.4,290,False,True,False,False,False,False,False,False,False,True,0.44392523364485986,0.4714285714285714,0.47570332480818417
VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4,8.1,192,True,False,False,False,False,False,False,False,False,False,0.14953271028037382,0.12857142857142856,0.22506393861892582
JAGUAR,XJR #,COMPACT,4.0,8,16.5,331,False,True,False,False,False,False,False,False,False,True,0.5420560747663552,0.42857142857142855,0.5805626598465473
MERCEDES-BENZ,E 320 WAGON,STATION WAGON - MID-SIZE,3.2,6,13.2,267,False,True,False,False,False,False,False,False,False,True,0.3878504672897196,0.31428571428571433,0.41687979539641945
VOLVO,S80 2.9,MID-SIZE,2.9,6,14.5,285,True,False,False,False,False,False,False,False,False,True,0.4485981308411215,0.2714285714285714,0.4629156010230179
DODGE,CARAVAN FFV,MINIVAN,3.3,6,20.6,283,True,False,False,False,False,False,True,False,False,False,0.7336448598130842,0.32857142857142857,0.4578005115089514
BMW,X5,SUV,4.4,8,14.9,294,False,True,False,False,False,False,False,False,False,True,0.4672897196261683,0.48571428571428577,0.4859335038363171
GMC,SONOMA,PICKUP TRUCK - SMALL,2.2,4,13.8,278,True,False,False,False,False,False,False,False,True,False,0.41588785046728977,0.17142857142857146,0.44501278772378516
BMW,540i,COMPACT,4.4,8,16.4,317,False,False,False,False,False,True,False,False,False,True,0.5373831775700935,0.48571428571428577,0.5447570332480819
CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,12.1,235,False,False,False,False,True,False,False,False,True,False,0.3364485981308411,0.19999999999999998,0.3350383631713555
VOLVO,C70 TURBO,COMPACT,2.3,5,13.0,260,False,False,False,False,True,False,False,False,False,True,0.37850467289719625,0.1857142857142857,0.3989769820971867
NISSAN,QUEST,MINIVAN,3.3,6,15.5,306,True,False,False,False,False,False,False,False,True,False,0.4953271028037383,0.32857142857142857,0.5166240409207161
CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,20.1,405,False,False,False,False,True,False,False,False,True,False,0.7102803738317758,0.5428571428571428,0.7698209718670077
